Date,
2009-04-27 00:00:00-05:00,0.002010483
2009-04-28 00:00:00-05:00,0.002006449
2009-04-29 00:00:00-05:00,0
2009-04-30 00:00:00-05:00,0.020310377
2009-05-01 00:00:00-05:00,-0.000560735
2009-05-02 00:00:00-05:00,0
2009-05-03 00:00:00-05:00,0
2009-05-04 00:00:00-05:00,0
2009-05-05 00:00:00-05:00,0.010379409
2009-05-06 00:00:00-05:00,0
2009-05-07 00:00:00-05:00,-0.002776428
2009-05-08 00:00:00-05:00,-0.004037029
2009-05-09 00:00:00-05:00,0
2009-05-10 00:00:00-05:00,0
2009-05-11 00:00:00-05:00,-0.005590887
2009-05-12 00:00:00-05:00,0.002670602
2009-05-13 00:00:00-05:00,0
2009-05-14 00:00:00-05:00,0
2009-05-15 00:00:00-05:00,-0.007569917
2009-05-16 00:00:00-05:00,0
2009-05-17 00:00:00-05:00,0
2009-05-18 00:00:00-05:00,-0.005367611
2009-05-19 00:00:00-05:00,0
2009-05-20 00:00:00-05:00,0
2009-05-21 00:00:00-05:00,0.007668821
2009-05-22 00:00:00-05:00,0
2009-05-23 00:00:00-05:00,0
2009-05-24 00:00:00-05:00,0
2009-05-25 00:00:00-05:00,0
2009-05-26 00:00:00-05:00,-0.003946163
2009-05-27 00:00:00-05:00,0
2009-05-28 00:00:00-05:00,0.006084188
2009-05-29 00:00:00-05:00,0
2009-05-30 00:00:00-05:00,0
2009-05-31 00:00:00-05:00,0
2009-06-01 00:00:00-05:00,0.021095563
2009-06-02 00:00:00-05:00,0.021486124
2009-06-03 00:00:00-05:00,0.00660689
2009-06-04 00:00:00-05:00,0
2009-06-05 00:00:00-05:00,0
2009-06-06 00:00:00-05:00,0
2009-06-07 00:00:00-05:00,0
2009-06-08 00:00:00-05:00,-0.000401849
2009-06-09 00:00:00-05:00,0
2009-06-10 00:00:00-05:00,-0.008844221
2009-06-11 00:00:00-05:00,-0.007841547
2009-06-12 00:00:00-05:00,-0.01090141
2009-06-13 00:00:00-05:00,-0.003444238
2009-06-14 00:00:00-05:00,0
2009-06-15 00:00:00-05:00,0
2009-06-16 00:00:00-05:00,-0.007741757
2009-06-17 00:00:00-05:00,0.000417973
2009-06-18 00:00:00-05:00,0
2009-06-19 00:00:00-05:00,0
2009-06-20 00:00:00-05:00,0
2009-06-21 00:00:00-05:00,0
2009-06-22 00:00:00-05:00,-0.011141285
2009-06-23 00:00:00-05:00,0.003802549
2009-06-24 00:00:00-05:00,0
2009-06-25 00:00:00-05:00,0.010101719
2009-06-26 00:00:00-05:00,-0.001527884
2009-06-27 00:00:00-05:00,0
2009-06-28 00:00:00-05:00,0
2009-06-29 00:00:00-05:00,0
2009-06-30 00:00:00-05:00,-0.009459553
2009-07-01 00:00:00-05:00,-0.000702198
2009-07-02 00:00:00-05:00,-0.030075188
2009-07-03 00:00:00-05:00,0
2009-07-04 00:00:00-05:00,0
2009-07-05 00:00:00-05:00,0
2009-07-06 00:00:00-05:00,0.004926465
2009-07-07 00:00:00-05:00,-0.004613943
2009-07-08 00:00:00-05:00,0
2009-07-09 00:00:00-05:00,0
2009-07-10 00:00:00-05:00,-0.004055914
2009-07-11 00:00:00-05:00,0
2009-07-12 00:00:00-05:00,0
2009-07-13 00:00:00-05:00,-0.00145444
2009-07-14 00:00:00-05:00,0.01427427
2009-07-15 00:00:00-05:00,0
2009-07-16 00:00:00-05:00,-0.003590149
2009-07-17 00:00:00-05:00,0
2009-07-18 00:00:00-05:00,0
2009-07-19 00:00:00-05:00,0
2009-07-20 00:00:00-05:00,0
2009-07-21 00:00:00-05:00,0.008647402
2009-07-22 00:00:00-05:00,-0.001714653
2009-07-23 00:00:00-05:00,0
2009-07-24 00:00:00-05:00,0.006584127
2009-07-25 00:00:00-05:00,-0.006256665
2009-07-26 00:00:00-05:00,0
2009-07-27 00:00:00-05:00,0
2009-07-28 00:00:00-05:00,0
2009-07-29 00:00:00-05:00,0
2009-07-30 00:00:00-05:00,0
2009-07-31 00:00:00-05:00,-0.007440796
2009-08-01 00:00:00-05:00,0
2009-08-02 00:00:00-05:00,0
2009-08-03 00:00:00-05:00,0
2009-08-04 00:00:00-05:00,0
2009-08-05 00:00:00-05:00,-0.001153319
2009-08-06 00:00:00-05:00,0
2009-08-07 00:00:00-05:00,0
2009-08-08 00:00:00-05:00,0
2009-08-09 00:00:00-05:00,0
2009-08-10 00:00:00-05:00,-0.006927906
2009-08-11 00:00:00-05:00,0.005668193
2009-08-12 00:00:00-05:00,0
2009-08-13 00:00:00-05:00,-0.006936917
2009-08-14 00:00:00-05:00,-0.000727643
2009-08-15 00:00:00-05:00,0
2009-08-16 00:00:00-05:00,0
2009-08-17 00:00:00-05:00,0
2009-08-18 00:00:00-05:00,0
2009-08-19 00:00:00-05:00,-0.001165077
2009-08-20 00:00:00-05:00,0
2009-08-21 00:00:00-05:00,0
2009-08-22 00:00:00-05:00,0
2009-08-23 00:00:00-05:00,0
2009-08-24 00:00:00-05:00,0
2009-08-25 00:00:00-05:00,-0.004957352
2009-08-26 00:00:00-05:00,0
2009-08-27 00:00:00-05:00,0
2009-08-28 00:00:00-05:00,0
2009-08-29 00:00:00-05:00,0
2009-08-30 00:00:00-05:00,0
2009-08-31 00:00:00-05:00,-0.002491025
2009-09-01 00:00:00-05:00,0
2009-09-02 00:00:00-05:00,0.003819317
2009-09-03 00:00:00-05:00,0
