Date,Equity
10/23/2009,"$75,637.50 "
10/26/2009,"$75,162.50 "
10/27/2009,"$72,737.50 "
10/29/2009,"$73,812.50 "
10/30/2009,"$74,262.50 "
11/2/2009,"$74,812.50 "
11/3/2009,"$72,762.50 "
11/4/2009,"$72,987.50 "
11/9/2009,"$71,487.50 "
11/10/2009,"$73,087.50 "
11/11/2009,"$72,012.50 "
11/12/2009,"$72,012.50 "
11/13/2009,"$73,262.50 "
11/17/2009,"$75,212.50 "
11/18/2009,"$74,912.50 "
11/24/2009,"$72,562.50 "
11/25/2009,"$72,212.50 "
11/27/2009,"$68,262.50 "
11/30/2009,"$67,862.50 "
12/2/2009,"$68,412.50 "
12/4/2009,"$67,737.50 "
12/7/2009,"$66,537.50 "
12/9/2009,"$68,212.50 "
12/15/2009,"$69,312.50 "
12/16/2009,"$68,987.50 "
12/17/2009,"$65,787.50 "
12/18/2009,"$65,537.50 "
12/28/2009,"$70,937.50 "
12/29/2009,"$70,612.50 "
1/4/2010,"$69,212.50 "
1/6/2010,"$68,662.50 "
1/11/2010,"$68,762.50 "
1/13/2010,"$69,337.50 "
1/15/2010,"$69,037.50 "
1/20/2010,"$68,687.50 "
1/21/2010,"$68,137.50 "
1/25/2010,"$68,012.50 "
1/26/2010,"$66,462.50 "
1/27/2010,"$65,962.50 "
1/29/2010,"$62,562.50 "
2/4/2010,"$64,062.50 "
2/5/2010,"$65,987.50 "
2/10/2010,"$66,037.50 "
2/12/2010,"$63,562.50 "
2/17/2010,"$64,962.50 "
2/18/2010,"$64,587.50 "
2/19/2010,"$63,487.50 "
2/25/2010,"$59,637.50 "
3/3/2010,"$62,812.50 "
3/4/2010,"$62,737.50 "
3/8/2010,"$63,537.50 "
3/9/2010,"$62,987.50 "
3/11/2010,"$61,987.50 "
3/18/2010,"$63,237.50 "
3/19/2010,"$63,862.50 "
3/24/2010,"$64,712.50 "
3/25/2010,"$64,362.50 "
3/29/2010,"$61,062.50 "
3/30/2010,"$60,512.50 "
3/31/2010,"$60,312.50 "
4/5/2010,"$61,162.50 "
4/6/2010,"$60,587.50 "
4/8/2010,"$60,962.50 "
4/13/2010,"$62,112.50 "
4/15/2010,"$62,887.50 "
4/19/2010,"$64,487.50 "
4/21/2010,"$66,337.50 "
4/22/2010,"$66,212.50 "
4/26/2010,"$66,962.50 "
4/27/2010,"$68,462.50 "
4/28/2010,"$69,675.00 "
4/30/2010,"$72,375.00 "
5/3/2010,"$73,050.00 "
5/4/2010,"$70,650.00 "
5/5/2010,"$72,400.00 "
5/10/2010,"$77,000.00 "
5/11/2010,"$81,350.00 "
5/14/2010,"$82,850.00 "
5/18/2010,"$80,050.00 "
5/20/2010,"$81,575.00 "
5/21/2010,"$83,925.00 "
5/24/2010,"$83,425.00 "
5/25/2010,"$81,325.00 "
5/26/2010,"$77,775.00 "
6/1/2010,"$79,225.00 "
6/3/2010,"$82,775.00 "
6/4/2010,"$78,350.00 "
6/7/2010,"$75,850.00 "
6/8/2010,"$75,850.00 "
6/11/2010,"$74,225.00 "
6/16/2010,"$75,975.00 "
6/21/2010,"$74,475.00 "
6/22/2010,"$74,400.00 "
6/23/2010,"$76,050.00 "
6/28/2010,"$76,050.00 "
6/30/2010,"$77,050.00 "
7/1/2010,"$72,625.00 "
7/2/2010,"$71,625.00 "
7/6/2010,"$68,675.00 "
7/8/2010,"$67,700.00 "
7/9/2010,"$67,075.00 "
7/12/2010,"$68,025.00 "
7/13/2010,"$66,950.00 "
7/14/2010,"$66,200.00 "
7/15/2010,"$66,675.00 "
7/20/2010,"$65,525.00 "
7/22/2010,"$63,200.00 "
7/23/2010,"$62,250.00 "
7/28/2010,"$62,700.00 "
7/30/2010,"$62,000.00 "
8/3/2010,"$65,800.00 "
8/4/2010,"$65,625.00 "
8/5/2010,"$65,075.00 "
8/6/2010,"$65,850.00 "
8/10/2010,"$63,600.00 "
8/18/2010,"$63,700.00 "
8/19/2010,"$60,050.00 "
8/24/2010,"$55,750.00 "
8/25/2010,"$56,350.00 "
8/26/2010,"$55,450.00 "
8/31/2010,"$56,675.00 "
9/2/2010,"$63,275.00 "
9/3/2010,"$61,150.00 "
9/7/2010,"$60,925.00 "
9/14/2010,"$64,475.00 "
9/15/2010,"$64,050.00 "
9/21/2010,"$67,100.00 "
9/27/2010,"$66,375.00 "
9/28/2010,"$66,400.00 "
9/29/2010,"$65,550.00 "
9/30/2010,"$64,750.00 "
10/4/2010,"$65,200.00 "
10/5/2010,"$64,475.00 "
10/6/2010,"$65,775.00 "
10/7/2010,"$65,500.00 "
10/11/2010,"$65,950.00 "
10/12/2010,"$65,025.00 "
10/14/2010,"$64,425.00 "
10/15/2010,"$64,225.00 "
10/19/2010,"$62,125.00 "
10/20/2010,"$62,425.00 "
10/21/2010,"$63,325.00 "
10/22/2010,"$62,325.00 "
10/26/2010,"$59,675.00 "
10/27/2010,"$59,850.00 "
