"Date","Time","Open","High","Low","Close","Vol","OI","exHurst1","exHurst2","xh4","exHurst1","exHurst2","xh5","p","xH1","xH2","Signal","Price","BarsAgo","BuildTime","Wavelength","dZ","edge%","~Hit%","~CallStrike","~PutStrike","MaxRetDate","x_est","ZMA","Upper Band","Lower Band"
06/05/2018,17:00,56.59,57.22,55.87,57.17,714674,434608,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.83,59.37,0.00,0.00
06/06/2018,17:00,57.16,57.61,55.92,56.38,708829,414114,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.45,58.64,0.00,0.00
06/07/2018,17:00,56.72,57.72,56.46,57.60,675041,368036,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.08,58.05,0.00,0.00
06/08/2018,17:00,57.63,57.89,56.80,57.39,571224,324550,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.74,57.60,0.00,0.00
06/11/2018,17:00,57.21,58.00,56.50,57.75,558281,286575,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.44,57.30,0.00,0.00
06/12/2018,17:00,57.70,58.35,57.52,58.01,524411,246100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.19,57.15,0.00,0.00
06/13/2018,17:00,57.66,58.54,57.17,58.29,626398,199816,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.99,57.12,0.00,0.00
06/14/2018,17:00,58.27,58.81,58.01,58.54,460168,149741,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.83,57.20,0.00,0.00
06/15/2018,17:00,58.65,58.74,55.94,56.71,477500,105997,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.67,57.26,0.00,0.00
06/18/2018,17:00,56.08,57.68,55.26,57.55,543015,440468,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.50,57.30,0.00,0.00
06/19/2018,17:00,57.56,57.60,56.09,56.76,629988,449728,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.33,57.29,0.00,0.00
06/20/2018,17:00,56.79,58.21,56.65,57.57,801625,455623,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.19,57.27,0.00,0.00
06/21/2018,17:00,57.20,58.08,56.20,57.40,760719,440211,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.06,57.26,0.00,0.00
06/22/2018,17:00,57.79,61.24,57.57,60.44,1136232,418038,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.04,57.41,0.00,0.00
06/25/2018,17:00,60.61,61.30,59.64,59.94,816207,403197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.09,57.70,0.00,0.00
06/26/2018,17:00,60.07,62.77,59.58,62.39,848537,405874,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.24,58.19,0.00,0.00
